iter	MultiClass
0	1.615915248
1	1.475020231
2	1.360280759
3	1.261173059
4	1.1745177
5	1.098743259
6	1.033001945
7	0.9752618035
8	0.9234969687
9	0.877150485
10	0.8325276376
11	0.791281957
12	0.7534913937
13	0.720247297
14	0.6898597914
15	0.6624932957
16	0.6377690704
17	0.6113726561
18	0.5876720423
19	0.5647320795
20	0.5447520019
21	0.5249720394
22	0.5060372941
23	0.4883434043
24	0.4730930625
25	0.4566297596
26	0.4418406067
27	0.4276369945
28	0.4140701457
29	0.4018652921
30	0.3892950441
31	0.3775112018
32	0.3670949843
33	0.3564900878
34	0.3474110424
35	0.3372490113
36	0.3280281644
37	0.3197850328
38	0.3116389403
39	0.303816609
40	0.296741395
41	0.2896829118
42	0.2830614634
43	0.2762199618
44	0.270176923
45	0.2643575919
46	0.2583081471
47	0.2530420919
48	0.2477170254
49	0.242904386
50	0.2378226066
51	0.233771233
52	0.2292363837
53	0.2245804925
54	0.2205344632
55	0.2170401247
56	0.2132319706
57	0.2098792329
58	0.2064520181
59	0.2031829932
60	0.1998266021
61	0.1964861648
62	0.1936410848
63	0.1909643105
64	0.1880870271
65	0.1852863817
66	0.1825585206
67	0.1800868924
68	0.177601269
69	0.1752090136
70	0.1730802034
71	0.1707843148
72	0.1684302498
73	0.1663267923
74	0.164476275
75	0.1625130278
76	0.1606676271
77	0.1587971407
78	0.1570987629
79	0.1554538462
80	0.1538630096
81	0.152433635
82	0.1507973492
83	0.1492584261
84	0.1476683376
85	0.1461819004
86	0.1446946456
87	0.1434041071
88	0.1422141445
89	0.1408845826
90	0.1393743456
91	0.1382065517
92	0.1368301111
93	0.1358071907
94	0.1345699783
95	0.1333617034
96	0.1322757486
97	0.1312769108
98	0.1302396616
99	0.129157927
100	0.1284588856
101	0.1274719328
102	0.126532413
103	0.1255963779
104	0.1248668266
105	0.1238552802
106	0.1230684496
107	0.1223142213
108	0.1214320106
109	0.120686976
110	0.1200887417
111	0.1192452435
112	0.1185246084
113	0.1178100738
114	0.1170256807
115	0.1163914656
116	0.1157635173
117	0.1151316402
118	0.1144617024
119	0.1137894354
120	0.1131270732
121	0.112449269
122	0.1118505579
123	0.1112806473
124	0.110634661
125	0.1100340512
126	0.1094327507
127	0.1089299744
128	0.108370742
129	0.1078486585
130	0.1073219378
131	0.1067668338
132	0.1062647008
133	0.1057651967
134	0.1053793361
135	0.1049150682
136	0.1043985395
137	0.1039789192
138	0.1035036973
139	0.1029708156
140	0.1024501976
141	0.1019574428
142	0.1015733146
143	0.1011570298
144	0.1007157299
145	0.1003671368
146	0.1000844969
147	0.09973139718
148	0.09930772457
149	0.09892526495
150	0.09859099908
151	0.09822617339
152	0.0978232429
153	0.09742390037
154	0.09712751653
155	0.0967511237
156	0.09649868551
157	0.0961353109
