iter	Passed	Remaining
0	152	60684
1	171	34104
2	192	25486
3	213	21175
4	230	18219
5	245	16103
6	264	14873
7	283	13909
8	305	13270
9	326	12730
10	349	12346
11	371	11996
12	393	11704
13	413	11409
14	429	11020
15	446	10722
16	461	10398
17	483	10263
18	506	10150
19	525	9983
20	538	9722
21	553	9514
22	574	9424
23	588	9216
24	602	9035
25	624	8984
26	646	8927
27	670	8907
28	693	8875
29	718	8858
30	736	8762
31	757	8715
32	777	8644
33	796	8578
34	814	8495
35	836	8453
36	856	8403
37	872	8309
38	892	8261
39	916	8244
40	933	8175
41	952	8121
42	969	8051
43	988	7995
44	1003	7919
45	1017	7833
46	1034	7770
47	1056	7744
48	1075	7704
49	1091	7643
50	1114	7630
51	1131	7571
52	1147	7511
53	1162	7450
54	1183	7421
55	1201	7377
56	1221	7348
57	1235	7283
58	1248	7213
59	1261	7147
60	1274	7084
61	1286	7011
62	1298	6945
63	1311	6884
64	1323	6822
65	1335	6757
66	1349	6709
67	1362	6654
68	1375	6599
69	1389	6552
70	1400	6491
71	1413	6439
72	1426	6391
73	1439	6342
74	1450	6286
75	1462	6235
76	1475	6188
77	1487	6139
78	1498	6087
79	1513	6052
80	1529	6022
81	1542	5980
82	1555	5941
83	1567	5898
84	1580	5858
85	1593	5817
86	1606	5778
87	1617	5733
88	1629	5693
89	1641	5655
90	1658	5632
91	1674	5607
92	1690	5580
93	1704	5549
94	1724	5535
95	1739	5508
96	1754	5479
97	1768	5449
98	1782	5418
99	1798	5395
100	1809	5356
101	1823	5327
102	1835	5293
103	1847	5258
104	1859	5224
105	1871	5191
106	1882	5153
107	1894	5120
108	1906	5089
109	1918	5057
110	1929	5023
111	1942	4995
112	1954	4964
113	1964	4928
114	1975	4896
115	1987	4864
116	1997	4830
117	2008	4800
118	2020	4770
119	2030	4737
120	2041	4708
121	2053	4678
122	2064	4649
123	2076	4620
124	2092	4603
125	2105	4579
126	2117	4551
127	2127	4521
128	2138	4492
129	2149	4463
130	2159	4434
131	2171	4408
132	2184	4385
133	2195	4357
134	2209	4337
135	2221	4312
136	2234	4289
137	2246	4264
138	2257	4239
139	2270	4216
140	2281	4190
141	2292	4164
142	2304	4141
143	2317	4119
144	2327	4093
145	2339	4070
146	2351	4047
147	2364	4025
148	2375	4001
149	2387	3978
150	2400	3958
151	2414	3939
152	2425	3915
153	2437	3893
154	2449	3872
155	2460	3848
156	2472	3827
157	2484	3804
158	2498	3787
159	2512	3768
160	2525	3749
161	2536	3726
162	2547	3704
163	2558	3681
164	2569	3659
165	2580	3637
166	2591	3614
167	2602	3593
168	2613	3572
169	2627	3554
170	2639	3534
171	2655	3519
172	2673	3508
173	2689	3493
174	2704	3477
175	2725	3468
176	2740	3453
177	2753	3434
178	2769	3419
179	2783	3401
180	2797	3384
181	2810	3366
182	2823	3348
183	2835	3328
184	2852	3315
185	2866	3297
186	2879	3280
187	2893	3262
188	2907	3246
189	2919	3226
190	2933	3209
191	2947	3192
192	2961	3176
193	2975	3159
194	2988	3141
195	2999	3122
196	3012	3103
197	3024	3085
198	3036	3066
199	3047	3047
200	3059	3028
201	3070	3009
202	3081	2990
203	3092	2971
204	3104	2952
205	3114	2933
206	3126	2915
207	3138	2897
208	3149	2878
209	3162	2861
210	3174	2843
211	3186	2826
212	3199	2808
213	3212	2791
214	3225	2775
215	3238	2758
216	3255	2745
217	3282	2740
218	3307	2733
219	3324	2720
220	3342	2707
221	3358	2692
222	3379	2682
223	3395	2667
224	3412	2654
225	3428	2639
226	3446	2626
227	3476	2622
228	3538	2642
229	3571	2639
230	3589	2625
231	3607	2612
232	3625	2598
233	3649	2588
234	3666	2574
235	3683	2559
236	3700	2545
237	3715	2529
238	3730	2513
239	3744	2496
240	3761	2481
241	3777	2466
242	3792	2450
243	3810	2436
244	3825	2420
245	3841	2404
246	3864	2393
247	3884	2380
248	3903	2367
249	3920	2352
250	3938	2337
251	3956	2323
252	3981	2313
253	4002	2300
254	4018	2285
255	4031	2267
256	4050	2253
257	4064	2236
258	4079	2220
259	4100	2208
260	4122	2195
261	4143	2182
262	4164	2169
263	4184	2155
264	4205	2142
265	4233	2132
266	4256	2120
267	4274	2105
268	4295	2092
269	4313	2076
270	4334	2063
271	4362	2052
272	4380	2038
273	4406	2026
274	4425	2011
275	4446	1997
276	4463	1981
277	4481	1966
278	4498	1950
279	4515	1935
280	4533	1919
281	4552	1904
282	4570	1889
283	4588	1874
284	4605	1858
285	4623	1842
286	4643	1828
287	4662	1813
288	4679	1797
289	4703	1784
290	4729	1771
291	4755	1758
292	4779	1745
293	4804	1732
294	4826	1717
295	4845	1702
296	4865	1687
297	4880	1670
298	4897	1654
299	4911	1637
300	4925	1619
301	4937	1602
302	4951	1585
303	4990	1575
304	5007	1559
305	5042	1548
306	5064	1534
307	5079	1517
308	5095	1500
309	5111	1483
310	5127	1467
311	5144	1451
312	5161	1434
313	5190	1421
314	5206	1405
315	5224	1388
316	5241	1372
317	5261	1356
318	5279	1340
319	5296	1324
320	5313	1307
321	5331	1291
322	5362	1278
323	5382	1262
324	5395	1245
325	5411	1228
326	5426	1211
327	5438	1193
328	5452	1176
329	5467	1159
330	5481	1142
331	5495	1125
332	5508	1108
333	5521	1091
334	5533	1073
335	5548	1056
336	5563	1040
337	5577	1023
338	5591	1006
339	5605	989
340	5620	972
341	5635	955
342	5648	938
343	5662	921
344	5674	904
345	5687	887
346	5700	870
347	5712	853
348	5723	836
349	5736	819
350	5750	802
351	5763	785
352	5776	769
353	5786	751
354	5798	735
355	5811	718
356	5821	701
357	5834	684
358	5846	667
359	5857	650
360	5868	633
361	5879	617
362	5890	600
363	5902	583
364	5914	567
365	5928	550
366	5946	534
367	5968	519
368	5982	502
369	5994	486
370	6004	469
371	6016	452
372	6034	436
373	6048	420
374	6061	404
375	6074	387
376	6087	371
377	6100	355
378	6114	338
379	6125	322
380	6135	305
381	6147	289
382	6158	273
383	6169	257
384	6180	240
385	6195	224
386	6207	208
387	6219	192
388	6231	176
389	6244	160
390	6259	144
391	6273	128
392	6289	112
393	6303	95
394	6316	79
395	6329	63
396	6341	47
397	6356	31
398	6367	15
399	6381	0
